address,c_b_no,Borough
620 WEST  153 STREET,109,MANHATTAN
741 CONCOURSE VILLAGE WEST,204,BRONX
347 EAST 54 STREET,106,MANHATTAN
57-37 GRANGER STREET,404,QUEENS
40-43 68 STREET,402,QUEENS
34 EAST 29 STREET,105,MANHATTAN
536 EAST  183 STREET,206,BRONX
128 WEST  167 STREET,204,BRONX
542 UNION STREET,306,BROOKLYN
4218 3 AVENUE,206,BRONX
38-05 31 STREET,401,QUEENS
290 EAST 150 STREET,201,BRONX
717 BARTHOLDI STREET,NA,BRONX
2395 PALISADE AVENUE,208,BRONX
28-57 45 STREET,401,QUEENS
122 LEXINGTON AVENUE,105,MANHATTAN
788 FAIRMOUNT PLACE,206,BRONX
135-25 NORTHERN BOULEVARD,407,QUEENS
41-46 27 STREET,401,QUEENS
186 21 STREET,307,BROOKLYN
2222 RICHMOND TERRACE,501,STATEN ISLAND
115 EAST 79 STREET,108,MANHATTAN
92-54 QUEENS BOULEVARD,406,QUEENS
1321 AVENUE M,314,BROOKLYN
1470 EASTERN PARKWAY,316,BROOKLYN
255 YORK AVENUE,501,STATEN ISLAND
415 10 AVENUE,104,MANHATTAN
239 MARCUS GARVEY BOULEVARD,303,BROOKLYN
16 EAST   16 STREET,105,MANHATTAN
40 WEST 29 STREET,105,MANHATTAN
686 LEXINGTON AVENUE,105,MANHATTAN
1981 MADISON AVENUE,111,MANHATTAN
402 EAST 80 STREET,108,MANHATTAN
153-19 JAMAICA AVENUE,412,QUEENS
375 SMITH STREET,306,BROOKLYN
92 TOMPKINS AVENUE,303,BROOKLYN
74 DIAMOND STREET,301,BROOKLYN
2333 2 AVENUE,111,MANHATTAN
1372 UTICA AVENUE,317,BROOKLYN
183 CHRYSTIE STREET,103,MANHATTAN
374 4 AVENUE,306,BROOKLYN
2195 3 AVENUE,111,MANHATTAN
113 EAST 79 STREET,108,MANHATTAN
1331 3 AVENUE,108,MANHATTAN
65-30 DIETERLE CRESCENT,NA,QUEENS
136-25 41 AVENUE,407,QUEENS
27 ELDERT STREET,304,BROOKLYN
170 WEST   22 STREET,104,MANHATTAN
