address,c_b_no,Borough,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"293 HERKIMER STREET",303,BROOKLYN,40.67918,-73.943509,0.9,nearest_rooftop_match,294,"Herkimer St",,,Brooklyn,NY,"Kings County",11216,US,"City of New York"
"1463 3 AVENUE",108,MANHATTAN,40.776558,-73.955519,1,range_interpolation,1463,"3rd Ave",,,"New York",NY,"New York County",10028,US,"TIGER/Line® dataset from the US Census Bureau"
"709 EAST 216 STREET",212,BRONX,40.869704,-73.913619,0.6,street_center,,"W 216th St",,,"New York",NY,"New York County",10034,US,"TIGER/Line® dataset from the US Census Bureau"
"129-21 101 AVENUE",409,QUEENS,40.795433,-73.963467,0.8,nearest_rooftop_match,21,"W 101st St",,,"New York",NY,"New York County",10025,US,"City of New York"
"1 EVENTS PLAZA",206,BRONX,0,0,0,,"Could not geocode address. No matches found.",,,,,,,,,
"2916 SHELL ROAD",313,BROOKLYN,40.581389,-73.975695,0.9,range_interpolation,2916,"Shell Rd",,,Brooklyn,NY,"Kings County",11224,US,"TIGER/Line® dataset from the US Census Bureau"
"585 UNION STREET",306,BROOKLYN,40.717882,-73.952421,0.7,rooftop,585,"Union Ave",,,Brooklyn,NY,"Kings County",11211,US,"City of New York"
"494 MANHATTAN AVENUE",301,BROOKLYN,40.807764,-73.95466,1,rooftop,494,"Manhattan Ave",,,"New York",NY,"New York County",10027,US,"City of New York"
"46-11 QUEENS BOULEVARD",NA,QUEENS,40.742796,-73.918414,0.8,range_interpolation,46,"Queens Blvd",,,Woodside,NY,"Queens County",11377,US,"TIGER/Line® dataset from the US Census Bureau"
"209 EAST   55 STREET",317,BROOKLYN,40.759004,-73.968269,1,range_interpolation,209,"E 55th St",,,"New York",NY,"New York County",10022,US,"TIGER/Line® dataset from the US Census Bureau"
"178 MT EDEN PARKWAY",204,BRONX,40.842812,-73.910636,0.9,range_interpolation,178,"Mt Eden Pkwy",,,Bronx,NY,"Bronx County",10457,US,"TIGER/Line® dataset from the US Census Bureau"
